composer
"Fuchs, Robert"
"Fuchs-Schönbach, Ernst"
"Fux, Johann Joseph"
"Fährmann, Hans"
"Fémy, François"
"Förster, Emanuel Aloys"
"Fürstenau, Anton Bernhard"
"Gabrieli, Andrea"
"Gabrieli, Giovanni"
"Gade, Niels"
"Gallo, Domenico"
"Galuppi, Baldassare"
"Ganassi, Sylvestro"
"Ganne, Louis"
"Garcia Jr., Manuel"
"Gasparini, Francesco"
"Gassmann, Florian Leopold"
"Gaviniès, Pierre"
"Gehot, Joseph"
"Gelinek, Joseph"
"Geminiani, Francesco"
"Genin jeune, T."
"Gerke, Auguste"
"German, Edward"
"Gernsheim, Friedrich"
"Gershwin, George"
"Geyer, Flodoard"
"Ghizzolo, Giovanni"
"Ghébart, Giuseppe"
"Giannotti, Alessandro"
"Giardini, Felice"
"Gibbons, Orlando"
"Gieseking, Walter"
"Gigault, Nicolas"
"Gigout, Eugène"
"Gillet, Georges"
"Gilson, Paul"
"Giordani, Tommaso"
"Giordano, Umberto"
"Giorgetti, Ferdinando"
"Giornovichi, Giovanni Mane"
"Girtain IV, Edgar"
"Giuliani, Mauro"
"Glass, Louis"
"Glazunov, Alexander"
"Glière, Reinhold"
"Gluck, Christoph Willibald"
"Gnesin, Mikhail Fabianovich"
"Godard, Benjamin"
"Godefroid, Félix"
"Godowsky, Leopold"
"Goedicke, Alexander Fyodorovich"
"Goens, Daniel Van"
"Goetschius, Percy"
"Goetz, Hermann"
"Goldbeck, Robert"
"Goldberg, Johann Gottlieb"
"Goldmark, Carl"
"Goldmark, Rubin"
"Goltermann, Georg"
"Goodwin, William"
"Gosswin, Anton"
"Gottschalk, Louis Moreau"
"Gounod, Charles"
"Gouvy, Louis Théodore"
"Graeff, Johann Georg"
"Graf, Christian Ernst"
"Graf, Friedrich Hartmann"
"Granados, Enrique"
"Grandval, Marie"
"Graun, Johann Gottlieb"
"Graun, Karl Heinrich"
"Graupner, Christoph"
"Greene, Maurice"
"Grieg, Edvard"
"Griffin, George Eugene"
"Grigny, Nicolas de"
"Grison, Jules"
"Grodzki, Boleslaus"
"Grose, Michael Ehregott"
"Gross, Johann Benjamin"
"Grund, Friedrich Wilhelm"
"Grädener, Hermann"
"Grünfeld, Alfred"
"Grützmacher, Friedrich"
"Guerini, Francesco"
"Guestrin, Néstor"
