composer
"Belpasso, Giovanni Battista"
"Benoît, Peter"
"Bernard, Gus W."
"Bernicat, Firmin"
"Bertali, Antonio"
"Berton, Henri-Montan"
"Beurle, Johannes Christian"
"Biber, Carl Heinrich"
"Binder, Carl"
"Bishop, Henry Rowley"
"Bittner, Julius"
"Blanke-Belcher, Henriette"
"Bloch, Ernest"
"Blow, John"
"Bochsa, Charles"
"Bode, Hermann"
"Boeck, August de"
"Bollman, Henry"
"Bölsche, Johannes Eduard Franz"
"Bon, Anna"
"Bonporti, Francesco Antonio"
"Bottis, Giuseppe de"
"Boulanger, Lili"
"Bourgault-Ducoudray, Louis-Albert"
"Braga, Antonio Correa"
"Brambach, Carl Joseph"
"Brassin, Louis"
"Bréville, Pierre de"
"Broustet, Édouard"
"Bryson, Ernest"
"Bühler, Franz"
"Bull, Georges"
"Busoni, Ferruccio"
"Børresen, Hakon"
"Canteloube, Joseph"
"Capet, Lucien"
"Caplet, André"
"Carr, Frank Osmond"
"Caturla, Alejandro García"
"Cazaneuve, Édouard"
"Cazenaud, Jules"
"Cellier, Alfred"
"Chapí, Ruperto"
"Charpentier, Gustave"
"Chevillard, Camille"
"Chopin, Frédéric"
"Choudens, Antony"
"Cilèa, Francesco"
"Čiurlionis, Mikalojus Konstantinas"
"Clarke, Herbert Lincoln"
"Clasing, Johann Heinrich"
"Clay, Frederic Emes"
"Clémandh, Jules"
"Conus, Julius"
"Cordara, Carlo"
"Cramer, Louis"
"Dale, Benjamin"
"Dawes, Charles Gates"
"De Castéra, René"
"Degen, Søffren"
"Delange, François"
"Delcroix, Léon"
"Depas, Ernest"
"Deshevov, Vladimir Mikhailovich"
"Domerc, Jules"
"Domnich, Heinrich"
"Dorn, Otto"
"Drozdov, Anatoly"
"Düben, Gustaf"
"Dugan, Franjo"
"Duhamel, Maurice"
"Duni, Egidio"
"Dupin, Paul"
"Duprato, Jules"
"Duvernoy, Victor Alphonse"
"Eberwein, Carl"
"Emmanuel, Maurice"
"Engelmann, Hans"
"Erler, Hermann"
"Falco, Carlo"
"Falla, Manuel de"
"Ferrata, Giuseppe"
"Février, Henry"
"Fitelberg, Grzegorz"
"Flesch, Carl"
"Flotow, Friedrich von"
"Folk Songs, Russian"
"Fomin, Yevstigney Ipat'yevich"
"Fontana, Fabrizio"
"Forsyth, Cecil"
"Foulds, John"
"Fradel, Charles"
"Francmesnil, Roger de"
"Fricker, Herbert A."
"Frontera de Valldemossa, Francisco"
"Fry, William Henry"
"Fučík, Julius"
"Funcke, Friedrich"
"Gabrielli, Domenico"
"Gabrielski, Johann Wilhelm"
"Gaito, Constantino"
"Galli, Amintore"
"García Sr., Manuel"
"Garcia, José Maurício Nunes"
"Gardiner, Henry Balfour"
"Garreta, Juli"
"Gastoldi, Giovanni Giacomo"
"Gaude, Theodor"
"Gaul, Harvey B."
"Gebel, Franz Xaver"
"Georges, Alexandre"
"Gillier, Jean Claude"
"Giménez, Gerónimo"
"Giorgis, Giuseppe"
"Gleissner, Franz"
"Gobert, Thomas"
"Godfrey, Percy"
"Grétry, Lucile"
"Griesbacher, Peter"
"Grillet, Laurent"
"Grimm, Julius Otto"
"Grisy, Auguste"
"Grossmith, George"
"Grovlez, Gabriel"
"Gruber, Franz Xaver"
"Haibel, Jakob"
"Haller, Michael"
"Hanby, Benjamin Russel"
"Hansen, Thorvald"
"Harris, Charles Kassell"
"Harris, Clement"
"Hasselmans, Alphonse"
"Haydn, Michael"
"Hayes, Philip"
"Herbeck, Johann von"
"Heubner, Konrad"
"Hiles, John"
"Hill, Alfred"
"Hiller, Johann Adam"
"Hofer, Andreas"
"Holst, Gustav"
"Honegger, Arthur"
"Honnoré, Léon"
"Horsley, William"
"Hugot, Antoine"
"Huss, Henry Holden"
"Infante, Manuel"
"Itiberê, Brasílio"
"Ivanovici, Iosif"
"Kaczkowski, Joachim"
"Kaffka, Johann Christoph"
"Kaminski, Heinrich"
"Karel, Rudolf"
"Karłowicz, Mieczysław"
"Kauer, Ferdinand"
"Kauffmann, Fritz"
"Kelly, Frederick Septimus"
"King, Charles M."
"King, Matthew Peter"
"Klička, Josef"
"Klosé, Hyacinthe Eléonore"
"Knebelsberger, Leopold"
"Knorr, Iwan"
"Koch, Sigurd von"
"Kolb, Julius von"
"Koussevitzky, Serge"
"Kowalski, Max"
"Kraus, Joseph Martin"
"Kriens, Christiaan"
"Kropf, Franz"
"Krug-Waldsee, Josef"
"Krüger, Wilhelm"
"Kügele, Richard"
"Kühnhausen, Johann Georg"
"Kursch, Richard"
"Labitzky, Joseph"
"Laboccetta, Domenico"
"Lajarte, Théodore de"
"Lambert, Constant"
"Lampe, John Frederick"
"Langgaard, Rued"
"Langlois, Louis"
"Laporte, Louis"
"Lates, James"
"Latilla, Gaetano"
"Lawes, William"
"Le Beau, Luise Adolpha"
"Lekeu, Guillaume"
"Leoni, Franco"
"Lie, Sigurd"
"Limbert, Frank L."
"Lindblad, Adolf Fredrik"
"Lindley, Robert"
"Linley, Thomas"
"Liszt, Franz"
"Locke, Matthew"
"Loeffler, Charles Martin"
"Lucietto, Giuseppe"
"Lührss, Carl"
"Lukačić, Ivan"
"Lully, Jean-Baptiste de"
"Lunde, Johan Backer"
"Lütkemann, Paul"
"Lvov, Alexey Fyodorovich"
"Lynes, Frank"
"Mace, Thomas"
"Magnard, Albéric"
"Major, Gyula"
"Maleingreau, Paul de"
"Mamontova, Mariya Aleksandrovna"
"Mancini, Giambattista"
"Marcelles, Paul"
"Marchetti, Filippo"
"Martini, Jean Paul Egide"
"Martinů, Bohuslav"
"Matiegka, Wenzel Thomas"
"Matteis, Nicola"
"Matthison-Hansen, Gottfred"
"Maunder, John Henry"
"Maupeou, Louis de"
"McEwen, John Blackwood"
"Medtner, Nikolai Karlovich"
"Meinardus, Ludwig Siegfried"
"Meisler, Georg Friedrich"
"Mercy-Argenteau, Louise de"
"Methfessel, Albert Gottlieb"
"Metzner, Ulrich"
"Meyer-Helmund, Erik"
"Mielck, Ernst"
"Mihalovich, Ödön"
"Milanuzzi, Carlo"
"Miles, Percy Hilder"
"Minkus, Ludwig"
"Moeran, Ernest John"
"Mohr, Hermann"
"Molter, Johann Melchior"
"Monaco, James Vincent"
"Montgeroult, Hélène"
"Monti, Vittorio"
"Moor, Karel"
"Moret, Ernest"
"Mosenthal, Joseph"
"Mottart, René"
"Mussorgsky, Modest Petrovich"
"Myaskovsky, Nikolai Yakovlevich"
"Nakayama, Shinpei"
"Neergaard, Joachim"
"Nessler, Viktor Ernst"
"Nevin, Arthur"
"Nie, Er"
"Noble, T. Tertius"
"Obiols, Mariano"
"Ollone, Max d'"
"Oswald, James"
"Pacini, Giovanni"
"Parish-Alvars, Elias"
"Pepper, James Welsh"
"Périlhou, Albert"
"Perinello, Carlo"
"Perotti, Giovanni Agostino"
"Petronio, Arthur"
"Pfleger, Augustin"
"Phile, Philip"
"Philidor (L'ainé), André Danican"
"Philipot, Jules"
"Pierson, Henry Hugo"
"Pijper, Willem"
"Planchet, Dominique Charles"
"Planquette, Robert"
"Pollini, Francesco"
"Prati, Alessio"
"Prokofiev, Sergei"
"Prokunin, Vasily Pavlovich"
"Protopopov, Sergei"
"Puccini, Giacomo"
"Rabboni, Giuseppe"
"Rachmaninoff, Sergei"
"Raison, André"
"Rasmussen, Peter"
"Rauchenecker, Georg Wilhelm"
"Ravel, Maurice"
"Reiche, Gottfried"
"Reinhard, August"
"Reuss, Heinrich"
"Rieder, Ambros"
"Riotte, Philipp Jakob"
"Ristori, Giovanni Alberto"
"Ritter, Frédéric Louis"
"Rodoreda i Santigós, Josep"
"Roger-Ducasse, Jean"
"Rogerson, Robert"
"Rootham, Cyril Bradley"
"Rosas, Juventino"
"Rosenhoff, Orla"
"Rosenkrans, George"
"Rosey, George"
"Roslavets, Nikolay"
"Roussel, Albert"
"Rüdinger, Fritz Albert Christian"
"Rummel, Walter Morse"
"Sabathil, Ferdinand"
"Sandberger, Adolf"
"Schickhardt, Johann Christian"
"Schillings, Max von"
"Schmezer, Christoph"
"Schmidt, Franz"
"Schmitt, Florent"
"Schoenberg, Arnold"
"Schreker, Franz"
"Schumann, Georg"
"Schürmann, Georg Caspar"
"Schuster, Joseph"
"Schwab, Ludwig"
"Schwartz, Heinrich"
"Scott, James"
"Scriabin, Julian"
"Selle, Thomas"
"Senaillé, Jean Baptiste"
"Serov, Alexander Nikolayevich"
"Servais, Joseph"
"Setaccioli, Giacomo"
"Seyfried, Ignaz"
"Sibelius, Jean"
"Sick, Theodor Bernhard"
"Slavenski, Josip"
"Smith, John Stafford"
"Smithe, Townsend"
"Solovyov, Nikolai Feopemptovich"
"Sourilas, Théophile"
"Sozzi, Francesco"
"Spencer, Vernon"
"Spendiarov, Aleksandr"
"Spontone, Bartolomeo"
"Stahl, Ernst"
"Stainer, John"
"Stamitz, Johann"
"Stavenhagen, Bernhard"
"Steckmest, Henri"
"Straesser, Ewald"
"Strong, George Templeton"
"Stults, Robert Morrison"
"Sudds, William F."
"Suolahti, Heikki"
"Szarzyński, Stanisław Sylwester"
"Szulc, Joseph"
"Tagliafico, Dieudonné"
"Tapray, Jean-François"
"Tarenghi, Mario"
"Tchaikovsky, Pyotr Ilyich"
"The Organist of Durham"
"Trépard, Emile"
"Tromboncino, Bartolomeo"
"Troschel, Wilhelm"
"Umlauf, Ignaz"
"Urio, Franscesco Antonio"
"Van der Stucken, Frank V."
"Van Helmont, Charles Joseph"
"Vetter, Nicolaus"
"Viardot, Paul"
"Villa-Lobos, Heitor"
"Villebois, Konstantin Petrovich"
"Viñes, Ricardo"
"Vives, Amadeo"
"Vockner, Josef"
"Vogel, Johann Christoph"
"Wade, Joseph Augustine"
"Wagenseil, Georg Christoph"
"Waghalter, Ignatz"
"Walmisley, Thomas Attwood"
"Walter, Thomas Christian"
"Ward, Samuel Augustus"
"Warren, George William"
"Wasielewski, Wilhelm Joseph von"
"Webern, Anton"
"Welsh Folk Music, 18th Century"
"Whistling, Carl Friedrich"
"White, Felix Harold"
"Wiggins, Thomas "Blind Tom""
"Williams, Joseph"
"Wilson, Mortimer"
"Wolff, Bernhard"
"Wolstenholme, William"
"Woollett, Henry"
"Yanada, Tadashi"
"Zahn, Christian Jacob"
"Zanella, Amilcare"
"Zelenka, Jan Dismas"
"Zellner, Julius"
"Ziegler, Johann Christoph"
"Zingarelli, Niccolò Antonio"
"Zöllner, Carl Friedrich"
"Zuccari, Carlo"
